lineage,taxon,n,conc,level1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Calycophorae/Diphyidae/gonophore,Diphyidae > gonophore,3268,2154.6,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Calycophorae/Diphyidae/Lensia/Lensia subtilis,Lensia subtilis,24,7.4,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Calycophorae/Diphyidae/nectophore,Diphyidae > nectophore,5131,1430.5,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Calycophorae/Hippopodiidae/nectophore,Hippopodiidae > nectophore,24,0.9,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Physonectae,Physonectae,5,0.1,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Physonectae/Agalmatidae/Agalma/Agalma elegans/siphonula,siphonula,81,29.4,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Physonectae/nectophore,Physonectae > nectophore,998,404.5,Siphonophorae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Narcomedusae/Aeginidae/Solmundella/Solmundella bitentaculata,Solmundella bitentaculata,201,79.4,Narcomedusae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylina/Narcomedusae/Aeginidae/Solmundella/Solmundella bitentaculata/actinula,Solmundella bitentaculata > actinula,17,5.2,Narcomedusae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa,Scyphozoa,1,0.7,
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa/ephyra,ephyra,221,96.2,ephyra
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Ctenophora,Ctenophora,64,43.1,Ctenophora
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata,Echinodermata,1573,736.8,Echinodermata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata/Echinoidea/pluteus,Echinoidea > pluteus,68,33.1,Echinodermata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Echinodermata/Ophiuroidea/pluteus,Ophiuroidea > pluteus,75,36.2,Echinodermata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca,Mollusca,11,3.1,
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Bivalvia,Bivalvia,1336,1910.7,Bivalvia
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Cephalopoda,Cephalopoda,1,0.0,
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Atlanta,Atlanta,61,18.6,Gastropoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Firola,Firola,2,0.3,Gastropoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Gymnosomata,Gymnosomata,33,9.3,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Cavoliniidae,Cavoliniidae,1555,801.4,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Cavoliniidae/Cavolinia/Cavolinia inflexa,Cavolinia inflexa,118,47.1,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Cliidae,Cliidae,5,0.2,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Cliidae/Clio/Clio pyramidata,Clio pyramidata,2,0.0,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Creseidae,Creseidae,6345,2329.5,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Creseidae/Creseis/Creseis acicula,Creseis acicula,996,143.5,Thecosomata
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Mollusca/Gastropoda/Heterobranchia/Euthyneura/Euopisthobranchia/Thecosomata/Limacinidae,Limacinidae,4148,3447.2,Limacinidae
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Nemertea,Nemertea,7,11.3,
